year,state,region,grade,subject,metric,scope,pct_all_schools,pct_govt,pct_pvt,data_type,source
2019,All India,National,3,arithmetic,can_do_subtraction,National,27.9,22.1,40.2,Regular Survey,ASER 2019 Rural
2019,All India,National,3,reading,can_read_story,National,17.7,13.1,28.9,Regular Survey,ASER 2019 Rural
2019,All India,National,5,arithmetic,can_do_division,National,26.7,21.4,38.5,Regular Survey,ASER 2019 Rural
2019,All India,National,5,reading,can_read_story,National,50.5,44.2,65.8,Regular Survey,ASER 2019 Rural
2019,All India,National,8,arithmetic,can_do_division,National,44.1,38.7,55.9,Regular Survey,ASER 2019 Rural
2019,All India,National,8,reading,can_read_story,National,72.8,67.4,83.2,Regular Survey,ASER 2019 Rural
2019,Andhra Pradesh,South,3,arithmetic,can_do_subtraction,State,32.6,,,Regular Survey,ASER 2019 Rural
2019,Andhra Pradesh,South,3,reading,can_read_story,State,24.6,,,Regular Survey,ASER 2019 Rural
2019,Andhra Pradesh,South,5,arithmetic,can_do_division,State,30.2,,,Regular Survey,ASER 2019 Rural
2019,Andhra Pradesh,South,5,reading,can_read_story,State,67.1,,,Regular Survey,ASER 2019 Rural
2019,Arunachal Pradesh,East/NE,3,arithmetic,can_do_subtraction,State,10.4,,,Regular Survey,ASER 2019 Rural
2019,Arunachal Pradesh,East/NE,3,reading,can_read_story,State,8.4,,,Regular Survey,ASER 2019 Rural
2019,Arunachal Pradesh,East/NE,5,arithmetic,can_do_division,State,12.1,,,Regular Survey,ASER 2019 Rural
2019,Arunachal Pradesh,East/NE,5,reading,can_read_story,State,30.1,,,Regular Survey,ASER 2019 Rural
2019,Assam,East/NE,3,arithmetic,can_do_subtraction,State,14.2,,,Regular Survey,ASER 2019 Rural
2019,Assam,East/NE,3,reading,can_read_story,State,11.8,,,Regular Survey,ASER 2019 Rural
2019,Assam,East/NE,5,arithmetic,can_do_division,State,18.9,,,Regular Survey,ASER 2019 Rural
2019,Assam,East/NE,5,reading,can_read_story,State,38.4,,,Regular Survey,ASER 2019 Rural
2019,Bihar,East/NE,3,arithmetic,can_do_subtraction,State,18.6,,,Regular Survey,ASER 2019 Rural
2019,Bihar,East/NE,3,reading,can_read_story,State,12.9,,,Regular Survey,ASER 2019 Rural
2019,Bihar,East/NE,5,arithmetic,can_do_division,State,27.4,,,Regular Survey,ASER 2019 Rural
2019,Bihar,East/NE,5,reading,can_read_story,State,42.6,,,Regular Survey,ASER 2019 Rural
2019,Chhattisgarh,Central,3,arithmetic,can_do_subtraction,State,24.8,,,Regular Survey,ASER 2019 Rural
2019,Chhattisgarh,Central,3,reading,can_read_story,State,19.6,,,Regular Survey,ASER 2019 Rural
2019,Chhattisgarh,Central,5,arithmetic,can_do_division,State,28.6,,,Regular Survey,ASER 2019 Rural
2019,Chhattisgarh,Central,5,reading,can_read_story,State,55.8,,,Regular Survey,ASER 2019 Rural
2019,Gujarat,West,3,arithmetic,can_do_subtraction,State,28.4,,,Regular Survey,ASER 2019 Rural
2019,Gujarat,West,3,reading,can_read_story,State,23.4,,,Regular Survey,ASER 2019 Rural
2019,Gujarat,West,5,arithmetic,can_do_division,State,22.4,,,Regular Survey,ASER 2019 Rural
2019,Gujarat,West,5,reading,can_read_story,State,58.3,,,Regular Survey,ASER 2019 Rural
2019,Haryana,North,3,arithmetic,can_do_subtraction,State,27.9,,,Regular Survey,ASER 2019 Rural
2019,Haryana,North,3,reading,can_read_story,State,19.8,,,Regular Survey,ASER 2019 Rural
2019,Haryana,North,5,arithmetic,can_do_division,State,33.1,,,Regular Survey,ASER 2019 Rural
2019,Haryana,North,5,reading,can_read_story,State,62.1,,,Regular Survey,ASER 2019 Rural
2019,Himachal Pradesh,North,3,arithmetic,can_do_subtraction,State,44.1,,,Regular Survey,ASER 2019 Rural
2019,Himachal Pradesh,North,3,reading,can_read_story,State,42.1,,,Regular Survey,ASER 2019 Rural
2019,Himachal Pradesh,North,5,arithmetic,can_do_division,State,50.4,,,Regular Survey,ASER 2019 Rural
2019,Himachal Pradesh,North,5,reading,can_read_story,State,74.2,,,Regular Survey,ASER 2019 Rural
2019,Jammu and Kashmir,North,3,arithmetic,can_do_subtraction,State,22.4,,,Regular Survey,ASER 2019 Rural
2019,Jammu and Kashmir,North,3,reading,can_read_story,State,18.4,,,Regular Survey,ASER 2019 Rural
2019,Jammu and Kashmir,North,5,arithmetic,can_do_division,State,28.9,,,Regular Survey,ASER 2019 Rural
2019,Jammu and Kashmir,North,5,reading,can_read_story,State,60.4,,,Regular Survey,ASER 2019 Rural
2019,Jharkhand,East/NE,3,arithmetic,can_do_subtraction,State,14.8,,,Regular Survey,ASER 2019 Rural
2019,Jharkhand,East/NE,3,reading,can_read_story,State,12.1,,,Regular Survey,ASER 2019 Rural
2019,Jharkhand,East/NE,5,arithmetic,can_do_division,State,19.6,,,Regular Survey,ASER 2019 Rural
2019,Jharkhand,East/NE,5,reading,can_read_story,State,39.7,,,Regular Survey,ASER 2019 Rural
2019,Karnataka,South,3,arithmetic,can_do_subtraction,State,27.1,,,Regular Survey,ASER 2019 Rural
2019,Karnataka,South,3,reading,can_read_story,State,23.1,,,Regular Survey,ASER 2019 Rural
2019,Karnataka,South,5,arithmetic,can_do_division,State,23.4,,,Regular Survey,ASER 2019 Rural
2019,Karnataka,South,5,reading,can_read_story,State,62.5,,,Regular Survey,ASER 2019 Rural
2019,Kerala,South,3,arithmetic,can_do_subtraction,State,46.8,,,Regular Survey,ASER 2019 Rural
2019,Kerala,South,3,reading,can_read_story,State,52.4,,,Regular Survey,ASER 2019 Rural
2019,Kerala,South,5,arithmetic,can_do_division,State,41.2,,,Regular Survey,ASER 2019 Rural
2019,Kerala,South,5,reading,can_read_story,State,79.1,,,Regular Survey,ASER 2019 Rural
2019,Madhya Pradesh,Central,3,arithmetic,can_do_subtraction,State,17.4,,,Regular Survey,ASER 2019 Rural
2019,Madhya Pradesh,Central,3,reading,can_read_story,State,14.2,,,Regular Survey,ASER 2019 Rural
2019,Madhya Pradesh,Central,5,arithmetic,can_do_division,State,18.3,,,Regular Survey,ASER 2019 Rural
2019,Madhya Pradesh,Central,5,reading,can_read_story,State,40.8,,,Regular Survey,ASER 2019 Rural
2019,Maharashtra,West,3,arithmetic,can_do_subtraction,State,33.1,,,Regular Survey,ASER 2019 Rural
2019,Maharashtra,West,3,reading,can_read_story,State,29.8,,,Regular Survey,ASER 2019 Rural
