year,state,district,grade,subject,level,percentage,n_students
2008,Assam,Assam,5,math,division,15.5,
2008,Assam,Assam,5,reading,story,40.9,
2008,Bihar,Bihar,5,math,division,50.9,
2008,Bihar,Bihar,5,reading,story,62.8,
2008,Chhattisgarh,Chhattisgarh,5,math,division,59.5,
2008,Chhattisgarh,Chhattisgarh,5,reading,story,74.1,
2008,Gujarat,Gujarat,5,math,division,24.1,
2008,Gujarat,Gujarat,5,reading,story,43.8,
2008,Haryana,Haryana,5,math,division,45.7,
2008,Haryana,Haryana,5,reading,story,61.1,
2008,Himachal Pradesh,Himachal Pradesh,5,math,division,57.4,
2008,Himachal Pradesh,Himachal Pradesh,5,reading,story,73.6,
2008,Jharkhand,Jharkhand,5,math,division,30.5,
2008,Jharkhand,Jharkhand,5,reading,story,51.9,
2008,Karnataka,Karnataka,5,math,division,14.9,
2008,Karnataka,Karnataka,5,reading,story,42.9,
2008,Kerala,Kerala,5,math,division,38.3,
2008,Kerala,Kerala,5,reading,story,73.3,
2008,Madhya Pradesh,Madhya Pradesh,5,math,division,77.5,
2008,Madhya Pradesh,Madhya Pradesh,5,reading,story,86.8,
2008,Maharashtra,Maharashtra,5,math,division,46.9,
2008,Maharashtra,Maharashtra,5,reading,story,74.3,
2008,Odisha,Odisha,5,math,division,36.0,
2008,Odisha,Odisha,5,reading,story,59.6,
2008,Punjab,Punjab,5,math,division,39.7,
2008,Punjab,Punjab,5,reading,story,61.3,
2008,Rajasthan,Rajasthan,5,math,division,25.9,
2008,Rajasthan,Rajasthan,5,reading,story,45.1,
2008,Tamil Nadu,Tamil Nadu,5,math,division,9.0,
2008,Tamil Nadu,Tamil Nadu,5,reading,story,26.7,
2008,Uttar Pradesh,Uttar Pradesh,5,math,division,15.8,
2008,Uttar Pradesh,Uttar Pradesh,5,reading,story,33.4,
2008,Uttarakhand,Uttarakhand,5,math,division,38.4,
2008,Uttarakhand,Uttarakhand,5,reading,story,64.6,
2008,West Bengal,West Bengal,5,math,division,29.4,
2008,West Bengal,West Bengal,5,reading,story,45.2,
2010,Assam,Assam,5,math,division,22.6,
2010,Assam,Assam,5,reading,story,42.6,
2010,Bihar,Bihar,5,math,division,51.0,
2010,Bihar,Bihar,5,reading,story,57.9,
2010,Chhattisgarh,Chhattisgarh,5,math,division,37.8,
2010,Chhattisgarh,Chhattisgarh,5,reading,story,61.0,
2010,Gujarat,Gujarat,5,math,division,19.6,
2010,Gujarat,Gujarat,5,reading,story,43.5,
2010,Haryana,Haryana,5,math,division,50.5,
2010,Haryana,Haryana,5,reading,story,60.7,
2010,Himachal Pradesh,Himachal Pradesh,5,math,division,61.8,
2010,Himachal Pradesh,Himachal Pradesh,5,reading,story,75.7,
2010,Jharkhand,Jharkhand,5,math,division,40.1,
2010,Jharkhand,Jharkhand,5,reading,story,48.4,
2010,Karnataka,Karnataka,5,math,division,18.7,
2010,Karnataka,Karnataka,5,reading,story,42.9,
2010,Kerala,Kerala,5,math,division,43.1,
2010,Kerala,Kerala,5,reading,story,74.0,
2010,Madhya Pradesh,Madhya Pradesh,5,math,division,38.0,
2010,Madhya Pradesh,Madhya Pradesh,5,reading,story,55.2,
2010,Maharashtra,Maharashtra,5,math,division,39.9,
2010,Maharashtra,Maharashtra,5,reading,story,71.0,
2010,Odisha,Odisha,5,math,division,31.3,
2010,Odisha,Odisha,5,reading,story,45.5,
2010,Punjab,Punjab,5,math,division,70.8,
2010,Punjab,Punjab,5,reading,story,68.7,
2010,Rajasthan,Rajasthan,5,math,division,25.2,
2010,Rajasthan,Rajasthan,5,reading,story,44.2,
2010,Tamil Nadu,Tamil Nadu,5,math,division,14.1,
2010,Tamil Nadu,Tamil Nadu,5,reading,story,30.9,
2010,Uttar Pradesh,Uttar Pradesh,5,math,division,18.7,
2010,Uttar Pradesh,Uttar Pradesh,5,reading,story,36.0,
2010,Uttarakhand,Uttarakhand,5,math,division,48.7,
2010,Uttarakhand,Uttarakhand,5,reading,story,63.7,
2010,West Bengal,West Bengal,5,math,division,38.1,
2010,West Bengal,West Bengal,5,reading,story,54.2,
2012,Assam,Assam,5,math,division,8.9,
2012,Assam,Assam,5,reading,story,33.3,
2012,Bihar,Bihar,5,math,division,30.0,
2012,Bihar,Bihar,5,reading,story,43.1,
2012,Chhattisgarh,Chhattisgarh,5,math,division,13.1,
2012,Chhattisgarh,Chhattisgarh,5,reading,story,44.0,
2012,Gujarat,Gujarat,5,math,division,12.4,
2012,Gujarat,Gujarat,5,reading,story,46.3,
2012,Haryana,Haryana,5,math,division,25.4,
2012,Haryana,Haryana,5,reading,story,43.5,
2012,Himachal Pradesh,Himachal Pradesh,5,math,division,40.7,
2012,Himachal Pradesh,Himachal Pradesh,5,reading,story,71.2,
2012,Jharkhand,Jharkhand,5,math,division,20.1,
2012,Jharkhand,Jharkhand,5,reading,story,32.5,
2012,Karnataka,Karnataka,5,math,division,17.4,
2012,Karnataka,Karnataka,5,reading,story,47.2,
2012,Kerala,Kerala,5,math,division,38.0,
2012,Kerala,Kerala,5,reading,story,59.9,
2012,Madhya Pradesh,Madhya Pradesh,5,math,division,8.9,
2012,Madhya Pradesh,Madhya Pradesh,5,reading,story,27.5,
2012,Maharashtra,Maharashtra,5,math,division,20.2,
2012,Maharashtra,Maharashtra,5,reading,story,55.3,
2012,Odisha,Odisha,5,math,division,17.2,
2012,Odisha,Odisha,5,reading,story,46.1,
2012,Punjab,Punjab,5,math,division,48.6,
2012,Punjab,Punjab,5,reading,story,69.5,
2012,Rajasthan,Rajasthan,5,math,division,9.9,
2012,Rajasthan,Rajasthan,5,reading,story,33.3,
