year,state,district,block,school_code,school_name,grade,subject,level,percentage,n_students,is_simulated
2008,Assam,Assam,Block 1,ASSBLO0000,Govt Primary School Block 1 Tola 0,5,math,division,6.1,202,True
2008,Assam,Assam,Block 1,ASSBLO0000,Govt Primary School Block 1 Tola 0,5,reading,story,47.7,202,True
2008,Assam,Assam,Block 2,ASSBLO0001,Govt Upper Primary School Block 2 Purwa 1,5,math,division,0.0,58,True
2008,Assam,Assam,Block 2,ASSBLO0001,Govt Upper Primary School Block 2 Purwa 1,5,reading,story,29.2,58,True
2008,Assam,Assam,Block 3,ASSBLO0002,Panchayati Raj Primary School Block 3 Nagar 2,5,math,division,16.7,186,True
2008,Assam,Assam,Block 3,ASSBLO0002,Panchayati Raj Primary School Block 3 Nagar 2,5,reading,story,38.1,186,True
2008,Assam,Assam,Block 4,ASSBLO0003,Govt Middle School Block 4 Colony 3,5,math,division,7.8,147,True
2008,Assam,Assam,Block 4,ASSBLO0003,Govt Middle School Block 4 Colony 3,5,reading,story,48.8,147,True
2008,Assam,Assam,Block 5,ASSBLO0004,Govt Elementary School Block 5 Ward 4,5,math,division,22.5,66,True
2008,Assam,Assam,Block 5,ASSBLO0004,Govt Elementary School Block 5 Ward 4,5,reading,story,41.5,66,True
2008,Assam,Assam,Block 6,ASSBLO0005,Govt Primary School Block 6 Basti 5,5,math,division,19.7,124,True
2008,Assam,Assam,Block 6,ASSBLO0005,Govt Primary School Block 6 Basti 5,5,reading,story,33.2,124,True
2008,Assam,Assam,Block 7,ASSBLO0006,Govt Upper Primary School Block 7 Khurd 6,5,math,division,18.8,212,True
2008,Assam,Assam,Block 7,ASSBLO0006,Govt Upper Primary School Block 7 Khurd 6,5,reading,story,32.3,212,True
2008,Assam,Assam,Block 8,ASSBLO0007,Panchayati Raj Primary School Block 8 Kalan 7,5,math,division,15.1,220,True
2008,Assam,Assam,Block 8,ASSBLO0007,Panchayati Raj Primary School Block 8 Kalan 7,5,reading,story,39.2,220,True
2008,Assam,Assam,Block 9,ASSBLO0008,Govt Middle School Block 9 Pura 8,5,math,division,9.4,213,True
2008,Assam,Assam,Block 9,ASSBLO0008,Govt Middle School Block 9 Pura 8,5,reading,story,51.9,213,True
2008,Assam,Assam,Block 10,ASSBLO0009,Govt Elementary School Block 10 Chak 9,5,math,division,11.6,133,True
2008,Assam,Assam,Block 10,ASSBLO0009,Govt Elementary School Block 10 Chak 9,5,reading,story,37.7,133,True
2008,Assam,Assam,Block 1,ASSBLO0010,Govt Primary School Block 1 Tola 10,5,math,division,20.3,227,True
2008,Assam,Assam,Block 1,ASSBLO0010,Govt Primary School Block 1 Tola 10,5,reading,story,44.2,227,True
2008,Assam,Assam,Block 2,ASSBLO0011,Govt Upper Primary School Block 2 Purwa 11,5,math,division,19.4,154,True
2008,Assam,Assam,Block 2,ASSBLO0011,Govt Upper Primary School Block 2 Purwa 11,5,reading,story,60.2,154,True
2008,Assam,Assam,Block 3,ASSBLO0012,Panchayati Raj Primary School Block 3 Nagar 12,5,math,division,11.8,72,True
2008,Assam,Assam,Block 3,ASSBLO0012,Panchayati Raj Primary School Block 3 Nagar 12,5,reading,story,36.3,72,True
2008,Assam,Assam,Block 4,ASSBLO0013,Govt Middle School Block 4 Colony 13,5,math,division,21.0,230,True
2008,Assam,Assam,Block 4,ASSBLO0013,Govt Middle School Block 4 Colony 13,5,reading,story,51.1,230,True
2008,Assam,Assam,Block 5,ASSBLO0014,Govt Elementary School Block 5 Ward 14,5,math,division,14.5,117,True
2008,Assam,Assam,Block 5,ASSBLO0014,Govt Elementary School Block 5 Ward 14,5,reading,story,33.3,117,True
2008,Assam,Assam,Block 6,ASSBLO0015,Govt Primary School Block 6 Basti 15,5,math,division,21.4,109,True
2008,Assam,Assam,Block 6,ASSBLO0015,Govt Primary School Block 6 Basti 15,5,reading,story,47.6,109,True
2008,Assam,Assam,Block 7,ASSBLO0016,Govt Upper Primary School Block 7 Khurd 16,5,math,division,20.4,87,True
2008,Assam,Assam,Block 7,ASSBLO0016,Govt Upper Primary School Block 7 Khurd 16,5,reading,story,34.9,87,True
2008,Assam,Assam,Block 8,ASSBLO0017,Panchayati Raj Primary School Block 8 Kalan 17,5,math,division,16.6,131,True
2008,Assam,Assam,Block 8,ASSBLO0017,Panchayati Raj Primary School Block 8 Kalan 17,5,reading,story,42.9,131,True
2008,Assam,Assam,Block 9,ASSBLO0018,Govt Middle School Block 9 Pura 18,5,math,division,23.3,209,True
2008,Assam,Assam,Block 9,ASSBLO0018,Govt Middle School Block 9 Pura 18,5,reading,story,42.9,209,True
2008,Assam,Assam,Block 10,ASSBLO0019,Govt Elementary School Block 10 Chak 19,5,math,division,16.1,214,True
2008,Assam,Assam,Block 10,ASSBLO0019,Govt Elementary School Block 10 Chak 19,5,reading,story,43.5,214,True
2008,Assam,Assam,Block 1,ASSBLO0020,Govt Primary School Block 1 Tola 20,5,math,division,21.2,81,True
2008,Assam,Assam,Block 1,ASSBLO0020,Govt Primary School Block 1 Tola 20,5,reading,story,27.8,81,True
2008,Assam,Assam,Block 2,ASSBLO0021,Govt Upper Primary School Block 2 Purwa 21,5,math,division,11.3,98,True
2008,Assam,Assam,Block 2,ASSBLO0021,Govt Upper Primary School Block 2 Purwa 21,5,reading,story,35.2,98,True
2008,Assam,Assam,Block 3,ASSBLO0022,Panchayati Raj Primary School Block 3 Nagar 22,5,math,division,13.0,203,True
2008,Assam,Assam,Block 3,ASSBLO0022,Panchayati Raj Primary School Block 3 Nagar 22,5,reading,story,54.4,203,True
2008,Assam,Assam,Block 4,ASSBLO0023,Govt Middle School Block 4 Colony 23,5,math,division,24.2,132,True
2008,Assam,Assam,Block 4,ASSBLO0023,Govt Middle School Block 4 Colony 23,5,reading,story,25.8,132,True
2008,Assam,Assam,Block 5,ASSBLO0024,Govt Elementary School Block 5 Ward 24,5,math,division,12.5,180,True
2008,Assam,Assam,Block 5,ASSBLO0024,Govt Elementary School Block 5 Ward 24,5,reading,story,42.4,180,True
2008,Assam,Assam,Block 6,ASSBLO0025,Govt Primary School Block 6 Basti 25,5,math,division,21.9,158,True
2008,Assam,Assam,Block 6,ASSBLO0025,Govt Primary School Block 6 Basti 25,5,reading,story,48.0,158,True
2008,Assam,Assam,Block 7,ASSBLO0026,Govt Upper Primary School Block 7 Khurd 26,5,math,division,12.4,156,True
2008,Assam,Assam,Block 7,ASSBLO0026,Govt Upper Primary School Block 7 Khurd 26,5,reading,story,36.7,156,True
2008,Assam,Assam,Block 8,ASSBLO0027,Panchayati Raj Primary School Block 8 Kalan 27,5,math,division,13.8,246,True
2008,Assam,Assam,Block 8,ASSBLO0027,Panchayati Raj Primary School Block 8 Kalan 27,5,reading,story,29.4,246,True
2008,Assam,Assam,Block 9,ASSBLO0028,Govt Middle School Block 9 Pura 28,5,math,division,5.3,85,True
2008,Assam,Assam,Block 9,ASSBLO0028,Govt Middle School Block 9 Pura 28,5,reading,story,32.6,85,True
2008,Assam,Assam,Block 10,ASSBLO0029,Govt Elementary School Block 10 Chak 29,5,math,division,16.8,219,True
2008,Assam,Assam,Block 10,ASSBLO0029,Govt Elementary School Block 10 Chak 29,5,reading,story,47.1,219,True
2008,Assam,Assam,Block 1,ASSBLO0030,Govt Primary School Block 1 Tola 30,5,math,division,11.7,99,True
2008,Assam,Assam,Block 1,ASSBLO0030,Govt Primary School Block 1 Tola 30,5,reading,story,42.3,99,True
2008,Bihar,Bihar,Muzaffarpur Sadar,BIHMUZ0000,Govt Primary School Muzaffarpur Sadar Tola 0,5,math,division,47.2,179,True
2008,Bihar,Bihar,Muzaffarpur Sadar,BIHMUZ0000,Govt Primary School Muzaffarpur Sadar Tola 0,5,reading,story,68.3,179,True
2008,Bihar,Bihar,Kanti,BIHKAN0001,Govt Upper Primary School Kanti Purwa 1,5,math,division,46.5,107,True
2008,Bihar,Bihar,Kanti,BIHKAN0001,Govt Upper Primary School Kanti Purwa 1,5,reading,story,58.2,107,True
2008,Bihar,Bihar,Minapur,BIHMIN0002,Panchayati Raj Primary School Minapur Nagar 2,5,math,division,36.5,75,True
2008,Bihar,Bihar,Minapur,BIHMIN0002,Panchayati Raj Primary School Minapur Nagar 2,5,reading,story,68.6,75,True
2008,Bihar,Bihar,Motipur,BIHMOT0003,Govt Middle School Motipur Colony 3,5,math,division,51.0,190,True
